"","Player's Name","Player's State","Total Number of Points","Player's Pre-Rating"
"1","GARY HUA","ON","6.0",1794
"2","DAKSHESH DARURI","MI","6.0",1553
"3","ADITYA BAJAJ","MI","6.0",1384
"4","PATRICK H SCHILLING","MI","5.5",1716
"5","HANSHI ZUO","MI","5.5",1655
"6","HANSEN SONG","OH","5.0",1686
"7","GARY DEE SWATHELL","MI","5.0",1649
"8","EZEKIEL HOUGHTON","MI","5.0",1641
"9","STEFANO LEE","ON","5.0",1411
"10","ANVIT RAO","MI","5.0",1365
"11","CAMERON WILLIAM MC LEMAN","MI","4.5",1712
"12","KENNETH J TACK","MI","4.5",1663
"13","TORRANCE HENRY JR","MI","4.5",1666
"14","BRADLEY SHAW","MI","4.5",1610
"15","ZACHARY JAMES HOUGHTON","MI","4.5",1220
"16","MIKE NIKITIN","MI","4.0",1604
"17","RONALD GRZEGORCZYK","MI","4.0",1629
"18","DAVID SUNDEEN","MI","4.0",1600
"19","DIPANKAR ROY","MI","4.0",1564
"20","JASON ZHENG","MI","4.0",1595
"21","DINH DANG BUI","ON","4.0",1563
"22","EUGENE L MCCLURE","MI","4.0",1555
"23","ALAN BUI","ON","4.0",1363
"24","MICHAEL R ALDRICH","MI","4.0",1229
"25","LOREN SCHWIEBERT","MI","3.5",1745
"26","MAX ZHU","ON","3.5",1579
"27","GAURAV GIDWANI","MI","3.5",1552
"28","SOFIA ADINA","MI","3.5",1507
"29","CHIEDOZIE OKORIE","MI","3.5",1602
"30","GEORGE AVERY JONES","ON","3.5",1522
"31","RISHI SHETTY","MI","3.5",1494
"32","JOSHUA PHILIP MATHEWS","ON","3.5",1441
"33","JADE GE","MI","3.5",1449
"34","MICHAEL JEFFERY THOMAS","MI","3.5",1399
"35","JOSHUA DAVID LEE","MI","3.5",1438
"36","SIDDHARTH JHA","MI","3.5",1355
"37","AMIYATOSH PWNANANDAM","MI","3.5",980
"38","BRIAN LIU","MI","3.0",1423
"39","JOEL R HENDON","MI","3.0",1436
"40","FOREST ZHANG","MI","3.0",1348
"41","KYLE WILLIAM MURPHY","MI","3.0",1403
"42","JARED GE","MI","3.0",1332
"43","ROBERT GLEN VASEY","MI","3.0",1283
"44","JUSTIN D SCHILLING","MI","3.0",1199
"45","DEREK YAN","MI","3.0",1242
"46","JACOB ALEXANDER LAVALLEY","MI","3.0",377
"47","ERIC WRIGHT","MI","2.5",1362
"48","DANIEL KHAIN","MI","2.5",1382
"49","MICHAEL J MARTIN","MI","2.5",1291
"50","SHIVAM JHA","MI","2.5",1056
"51","TEJAS AYYAGARI","MI","2.5",1011
"52","ETHAN GUO","MI","2.5",935
"53","JOSE C YBARRA","MI","2.0",1393
"54","LARRY HODGE","MI","2.0",1270
"55","ALEX KONG","MI","2.0",1186
"56","MARISA RICCI","MI","2.0",1153
"57","MICHAEL LU","MI","2.0",1092
"58","VIRAJ MOHILE","MI","2.0",917
"59","SEAN M MC CORMICK","MI","2.0",853
"60","JULIA SHEN","MI","1.5",967
"61","JEZZEL FARKAS","ON","1.5",955
"62","ASHWIN BALAJI","MI","1.0",1530
"63","THOMAS JOSEPH HOSMER","MI","1.0",1175
"64","BEN LI","MI","1.0",1163
